RecId,FIPSCode,RecordCount2020,RecordCount2021,TIV2020,TIV2021,DifferenceTIV,DifferenceRecordCount,Bucket
135,51167,1,1,24000,24000,0,0,1
136,42075,2,2,30937,30843,-94,0,1
137,40081,0,1,0,42900,42900,1,1
138,42037,2,2,54325,49686,-4639,0,1
139,47105,1,1,50000,50000,0,0,1
140,18113,1,1,56050,56050,0,0,1
141,12097,0,1,0,60000,60000,1,1
142,48477,0,1,0,60564,60564,1,1
143,48349,0,1,0,72100,72100,1,1
144,47059,0,1,0,77100,77100,1,1
145,17111,1,1,183340,80700,-102640,0,1
146,48203,0,1,0,83059,83059,1,1
147,48041,0,1,0,83276,83276,1,1
148,01097,0,1,0,84500,84500,1,1
149,48225,0,1,0,87674,87674,1,1
150,28133,1,1,90000,90000,0,0,1
151,37057,3,1,198310,96248,-102062,-2,1
152,48147,0,1,0,103000,103000,1,1
153,42069,3,6,55325,104542,49217,3,1
154,48355,0,1,0,105060,105060,1,1
155,37091,1,1,105400,105400,0,0,1
156,28075,1,1,109920,112930,3010,0,1
157,29213,0,1,0,113200,113200,1,1
158,37159,1,1,36960,113296,76336,0,1
159,48053,2,1,234000,117000,-117000,-1,1
160,48193,0,1,0,119325,119325,1,1
161,48091,0,1,0,120000,120000,1,1
162,45057,0,1,0,121200,121200,1,1
163,45025,2,1,254560,125200,-129360,-1,1
164,01065,0,1,0,126536,126536,1,1
165,40083,0,2,0,128609,128609,2,1
166,40087,1,2,62200,131850,69650,1,1
167,40121,0,1,0,132900,132900,1,1
168,05007,0,1,0,133900,133900,1,1
169,37045,1,2,34400,144056,109656,1,1
170,37151,1,1,102480,145748,43268,0,1
171,40073,0,1,0,147783,147783,1,1
172,28093,0,1,0,151700,151700,1,1
173,22063,0,1,0,156050,156050,1,1
174,21221,0,2,0,156780,156780,2,1
175,36073,0,2,0,159095,159095,2,1
176,21047,0,2,0,160000,160000,2,1
177,13115,0,1,0,160604,160604,1,1
178,24510,17,2,1850034,161520,-1688514,-15,1
179,45041,4,2,293560,162998,-130562,-2,1
180,17057,0,1,0,165000,165000,1,1
181,29043,0,1,0,165068,165068,1,1
182,09011,1,1,161144,165618,4474,0,1
183,13171,0,1,0,166320,166320,1,1
184,37013,1,2,48000,166600,118600,1,1
185,37181,1,1,169700,169700,0,0,1
186,37103,1,1,175400,175400,0,0,1
187,18109,0,1,0,178911,178911,1,1
188,37053,0,2,0,179000,179000,2,1
189,48471,0,1,0,180300,180300,1,1
190,48361,0,2,0,185400,185400,2,1
191,47075,1,1,186000,186000,0,0,1
192,05031,0,1,0,186103,186103,1,1
193,29159,0,1,0,186500,186500,1,1
194,34011,0,1,0,193630,193630,1,1
195,13233,0,1,0,194900,194900,1,1
196,48441,0,3,0,197310,197310,3,1
197,37049,3,1,341100,198300,-142800,-2,1
198,37125,1,1,200000,200000,0,0,1
199,45091,0,1,0,204000,204000,1,1
200,18089,1,1,199110,204579,5469,0,1
201,39029,0,1,0,209600,209600,1,1
202,34019,0,1,0,209600,209600,1,1
203,39133,0,2,0,211200,211200,2,1
204,37135,0,1,0,212000,212000,1,1
205,36111,0,1,0,212180,212180,1,1
206,40003,0,2,0,213950,213950,2,1
207,34023,1,1,275000,220000,-55000,0,1
208,48187,2,1,433032,223011,-210021,-1,1
209,48209,0,2,0,226560,226560,2,1
210,51105,5,3,248240,236425,-11815,-2,1
211,24027,0,1,0,236600,236600,1,1
212,47163,0,1,0,240000,240000,1,1
213,37019,0,2,0,241100,241100,2,1
214,39085,1,1,246404,246404,0,0,1
215,13247,0,2,0,247800,247800,2,1
216,51830,2,2,254878,253170,-1708,0,1
217,48329,1,1,260000,260000,0,0,1
218,48459,0,2,0,263100,263100,2,1
219,42053,1,2,228600,263400,34800,1,1
220,22047,0,2,0,264650,264650,2,1
221,17117,0,2,0,277569,277569,2,1
222,48363,0,1,0,280000,280000,1,1
